TCEHY,Tencent,Internet,Finance,Emerging Markets
BETZ,The Sports Betting ETF,ETFs,,
LMND,Lemonade,Internet,Finance,
FOUR,Shift4 Payments,Finance,Internet,
MTA,Meta,Cryptocurrency,,
YFI,Yearn Finance,Cryptocurrency,,
AMPL,Ampleforth,Cryptocurrency,,
LEND,Aave,Cryptocurrency,,
NKLA,Nikola,Cars,,
ONLN,ProShares Online Retailer ETF,ETFs,,
IPOC,Social Capital Hedosophia Holdings Corp. III,Internet,,
IPOB,Social Capital Hedosophia Holdings Corp. II,Internet,,
DEEP,Roundhill Acquirers Deep Value ETF,ETFs,,
CLIX,ProShares Long Online/Short Stores ETF,ETFs,,
BIGC,BigCommerce,E-commerce,Internet,
